BLK, 54.51%
BLK, 58.52%
BLK, 64.93%
BLK, 65.33%
BLL, 50.70%
BLL, 56.51%
BLL, 61.92%
BLL, 68.54%
BMY, 52.30%
BMY, 54.71%
BMY, 72.14%
BMY, 60.12%
BSX, 46.89%
BSX, 51.70%
BSX, 67.33%
BSX, 59.92%
BWA, 56.11%
BWA, 61.32%
BWA, 61.32%
BWA, 69.54%
BXP, 53.11%
BXP, 55.51%
BXP, 70.54%
BXP, 75.35%
C, 53.31%
C, 57.11%
C, 57.72%
C, 60.72%
CA, 51.90%
CA, 50.90%
CA, 67.33%
CA, 66.73%
CAG, 53.91%
CAG, 53.91%
CAG, 67.13%
CAG, 62.73%
CAH, 52.51%
CAH, 60.52%
CAH, 66.33%
CAH, 62.12%
CAT, 53.71%
CAT, 58.32%
CAT, 62.73%
CAT, 56.91%
CB, 51.90%
CB, 52.10%
CB, 66.13%
CB, 63.33%
CBOE, 55.51%
CBOE, 49.90%
CBOE, 56.11%
CBOE, 65.13%
CBS, 56.91%
CBS, 59.12%
CBS, 69.34%
CBS, 68.14%
CCI, 52.51%
CCI, 56.11%
CCI, 66.13%
CCI, 65.33%
CCL, 54.91%
CCL, 54.71%
CCL, 58.12%
CCL, 63.73%
CDNS, 53.51%
CDNS, 51.30%
CDNS, 63.93%
CDNS, 61.72%
CELG, 52.30%
CELG, 60.12%
CELG, 64.13%
CELG, 68.74%
CERN, 54.11%
CERN, 59.72%
CERN, 73.15%
CERN, 68.94%
CF, 54.31%
CF, 52.30%
CF, 67.74%
CF, 67.94%
CHD, 54.71%
CHD, 55.71%
CHD, 66.13%
CHD, 61.12%
CHK, 50.70%
CHK, 55.11%
CHK, 65.33%
CHK, 62.93%
CHRW, 56.31%
CHRW, 55.51%
CHRW, 67.13%
CHRW, 67.54%
CHTR, 56.71%
CHTR, 54.51%
CHTR, 65.33%
CHTR, 60.32%
CI, 53.31%
CI, 56.31%
CI, 62.73%
CI, 65.33%
CINF, 54.31%
CINF, 53.31%
CINF, 66.13%
CINF, 66.73%
CL, 57.11%
CL, 54.71%
CL, 64.33%
CL, 67.13%
CLX, 56.71%
CLX, 54.71%
CLX, 65.93%
CLX, 65.53%
CMA, 55.31%
CMA, 51.50%
CMA, 70.34%
CMA, 61.32%
CMCSA, 55.11%
CMCSA, 51.70%
CMCSA, 58.32%
CMCSA, 69.74%
CME, 52.91%
CME, 55.51%
CME, 60.12%
CME, 60.32%
CMG, 50.10%
CMG, 56.51%
CMG, 66.33%
CMG, 68.94%
CMI, 46.49%
CMI, 57.52%
CMI, 60.12%
CMI, 69.14%
CMS, 54.51%
CMS, 54.11%
CMS, 60.52%
CMS, 68.14%
CNC, 50.30%
CNC, 56.31%
CNC, 69.74%
CNC, 64.53%
CNP, 58.12%
CNP, 53.11%
CNP, 65.93%
CNP, 68.34%
COF, 55.91%
COF, 55.51%
COF, 65.73%
COF, 57.11%
COG, 50.10%
COG, 53.11%
COG, 71.94%
COG, 71.34%
COL, 56.51%
COL, 54.91%
COL, 64.53%
COL, 56.91%
COO, 53.51%
COO, 59.92%
COO, 68.34%
COO, 69.54%
COP, 50.90%
COP, 55.31%
COP, 63.93%
COP, 66.33%
COST, 52.71%
COST, 52.91%
COST, 62.32%
COST, 65.73%
COTY, 54.71%
COTY, 55.51%
COTY, 68.14%
COTY, 71.34%
CPB, 53.91%
CPB, 52.71%
CPB, 61.12%
CPB, 52.51%
CRM, 55.11%
CRM, 54.51%
CRM, 61.72%
CRM, 54.31%
CSCO, 53.31%
CSCO, 53.31%
CSCO, 65.33%
CSCO, 58.72%
CSX, 54.31%
CSX, 51.70%
CSX, 61.32%
CSX, 68.34%
CTAS, 55.11%
CTAS, 52.10%
CTAS, 63.13%
CTAS, 56.51%
CTL, 54.11%
CTL, 56.11%
CTL, 59.52%
CTL, 64.93%
CTSH, 57.52%
CTSH, 49.70%
CTSH, 59.92%
CTSH, 66.53%
CTXS, 52.10%
CTXS, 52.51%
CTXS, 65.53%
CTXS, 63.73%
CVS, 52.91%
CVS, 55.51%
CVS, 63.13%
CVS, 62.73%
CVX, 52.91%
CVX, 50.30%
CVX, 60.92%
CVX, 52.10%
CXO, 52.71%
CXO, 55.91%
CXO, 67.74%
CXO, 72.34%
D, 52.30%
D, 51.70%
D, 65.33%
D, 72.55%
DAL, 53.71%
DAL, 59.72%
DAL, 70.54%
DAL, 69.74%
DE, 50.30%
DE, 51.90%
DE, 64.73%
DE, 59.92%
DFS, 49.30%
DFS, 56.71%
DFS, 65.33%
DFS, 67.94%
DG, 51.30%
DG, 55.31%
DG, 65.93%
DG, 57.72%
DGX, 54.71%
DGX, 52.30%
DGX, 69.74%
