CME, 50.3%, 57.11%, 52.71%, 44.49%
CMG, 46.49%, 49.9%, 50.5%, 48.1%
CMI, 48.1%, 49.7%, 48.1%, 52.1%
CMS, 51.1%, 40.48%, 45.89%, 56.11%
CNC, 44.49%, 57.31%, 54.11%, 54.31%
CNP, 51.3%, 46.49%, 52.1%, 48.9%
COF, 53.11%, 53.71%, 50.5%, 49.1%
COG, 54.71%, 49.1%, 53.31%, 50.7%
COL, 46.49%, 54.71%, 53.91%, 51.7%
COO, 52.3%, 46.49%, 47.09%, 52.51%
COP, 56.91%, 48.3%, 50.7%, 49.7%
COST, 47.09%, 44.49%, 53.31%, 52.71%
COTY, 50.1%, 49.5%, 50.3%, 51.3%
CPB, 49.3%, 52.91%, 47.7%, 51.5%
CRM, 53.91%, 58.12%, 51.9%, 54.91%
CSCO, 54.51%, 55.71%, 50.1%, 48.5%
CSX, 51.9%, 54.91%, 49.5%, 48.3%
CTAS, 44.49%, 46.49%, 56.31%, 42.28%
CTL, 48.9%, 44.89%, 48.7%, 50.1%
CTSH, 51.1%, 56.71%, 50.9%, 48.1%
CTXS, 51.9%, 45.09%, 54.91%, 46.69%
CVS, 45.29%, 46.89%, 53.71%, 53.71%
CVX, 50.3%, 52.91%, 49.7%, 50.5%
CXO, 50.3%, 53.91%, 50.7%, 49.1%
D, 50.1%, 58.32%, 51.5%, 47.49%
DAL, 52.3%, 49.5%, 51.5%, 47.49%
DE, 46.29%, 53.91%, 45.69%, 44.89%
DFS, 49.9%, 52.91%, 54.11%, 47.29%
DG, 51.3%, 55.31%, 51.5%, 49.9%
DGX, 51.1%, 55.91%, 53.51%, 46.09%
DHI, 50.1%, 56.51%, 48.5%, 53.11%
DHR, 50.5%, 52.51%, 54.31%, 48.9%
DIS, 51.3%, 44.49%, 49.9%, 48.3%
DISCA, 47.09%, 49.3%, 47.49%, 46.69%
DISCK, 46.69%, 51.5%, 49.9%, 51.1%
DISH, 53.71%, 51.3%, 50.1%, 50.7%
DLR, 52.1%, 55.31%, 46.89%, 56.51%
DLTR, 48.9%, 45.49%, 48.5%, 53.31%
DOV, 51.5%, 52.3%, 51.5%, 50.1%
DPS, 47.09%, 54.51%, 43.29%, 54.71%
DRE, 49.7%, 48.9%, 46.89%, 49.5%
DRI, 52.51%, 52.1%, 49.3%, 55.71%
DTE, 47.49%, 58.12%, 58.32%, 44.29%
DUK, 47.09%, 44.29%, 52.51%, 56.31%
DVA, 50.5%, 48.5%, 46.69%, 54.51%
DVN, 52.91%, 52.3%, 50.3%, 49.3%
DWDP, 50.1%, 54.11%, 52.71%, 51.1%
DXC, 50.9%, 54.11%, 51.7%, 53.91%
EA, 46.89%, 50.7%, 44.49%, 46.29%
EBAY, 45.69%, 50.5%, 49.9%, 51.3%
ECL, 53.31%, 47.9%, 53.91%, 47.7%
ED, 53.31%, 54.71%, 43.09%, 54.91%
EFX, 53.51%, 54.91%, 50.3%, 51.9%
EIX, 51.3%, 45.29%, 54.51%, 48.5%
EL, 51.5%, 41.48%, 53.71%, 47.9%
EMN, 51.9%, 46.89%, 47.9%, 50.9%
EMR, 48.1%, 52.3%, 54.31%, 54.91%
EOG, 53.71%, 51.7%, 48.7%, 45.89%
EQIX, 46.69%, 47.29%, 45.29%, 45.29%
